n,h
1468,4806.0
1469,4806.0
1470,4809.9375
1471,4809.9375
1472,4818.6
1473,4818.6
1474,4818.6
1475,4821.0
1476,4821.0
1477,4841.166666666667
1478,4841.166666666667
1479,4853.444444444444
1480,4853.714285714285
1481,4853.714285714285
1482,4853.714285714285
1483,4853.714285714285
1484,4865.0
1485,4867.714285714285
1486,4877.142857142857
1487,4877.142857142857
1488,4877.142857142857
1489,4877.142857142857
1490,4884.695652173913
1491,4884.695652173913
1492,4884.695652173913
1493,4906.727272727273
1494,4906.727272727273
1495,4907.2
1496,4907.2
1497,4907.2
1498,4907.2
1499,4913.428571428572
1500,4920.285714285715
1501,4926.55
1502,4926.55
